date,open,close,high,low,volume,amount
2025-10-20,175.0,176.3,180.92,174.58,37247.0,660757102.0
2025-10-21,177.54,179.08,182.99,176.0,39525.0,710175765.0
2025-10-22,178.88,183.36,184.55,177.52,35603.0,651686066.0
2025-10-23,183.57,183.8,184.64,180.13,31305.0,573461055.0
2025-10-24,184.92,186.4,187.77,183.0,32107.0,596143006.0
2025-10-27,188.98,185.01,191.5,183.5,32451.0,605479149.0
2025-10-28,185.55,185.45,187.0,184.02,22822.0,423151739.0
2025-10-29,185.24,188.35,189.2,181.86,27113.0,502429826.0
2025-10-30,188.6,185.77,190.53,184.8,25676.0,480473336.0
2025-10-31,172.0,163.4,172.0,158.32,119048.0,1937467556.0
2025-11-03,163.38,156.97,164.21,154.11,88148.0,1379078893.0
2025-11-04,156.75,155.0,157.3,153.7,38994.0,605030701.0
2025-11-05,153.01,156.5,159.49,153.01,34031.0,535024626.0
2025-11-06,157.01,158.25,159.15,155.71,30745.0,484643603.0
2025-11-07,158.05,154.49,158.99,153.8,37049.0,577438035.0
2025-11-10,154.5,157.26,157.64,153.0,39119.0,609170201.0
2025-11-11,157.26,158.67,159.8,154.33,40381.0,636170585.0
2025-11-12,158.5,159.15,160.99,157.61,32317.0,515247165.0
2025-11-13,159.45,161.81,165.31,159.45,32677.0,532595349.0
2025-11-14,161.83,163.42,164.86,161.17,25835.0,422935429.0
2025-11-17,162.1,159.51,163.1,156.49,32359.0,513564738.0
2025-11-18,158.0,158.44,159.51,156.89,24934.0,393736914.0
2025-11-19,158.18,158.93,159.6,157.02,21007.0,331997452.0
2025-11-20,158.89,160.73,162.2,158.56,20724.0,333041768.0
2025-11-21,160.44,159.2,162.0,158.22,26895.0,431008790.0
2025-11-24,160.22,155.61,160.76,154.06,26974.0,420915774.0
2025-11-25,156.6,156.22,157.99,154.32,20513.0,321564581.0
2025-11-26,156.22,154.25,156.88,153.6,26922.0,415938024.0
2025-11-27,155.0,153.3,155.66,152.51,29502.0,454211698.0
2025-11-28,153.44,152.18,154.2,151.36,35940.0,546662619.0
2025-12-01,149.31,152.79,153.22,149.31,30317.0,460252767.0
2025-12-02,152.29,154.07,155.49,151.29,26473.0,408320747.0
2025-12-03,154.0,160.46,162.95,153.19,50959.0,814448894.0
2025-12-04,161.98,159.7,163.5,158.5,29464.0,472767183.0
2025-12-05,159.0,162.23,163.18,158.03,25704.0,413445202.0
2025-12-08,162.01,157.05,162.99,156.49,41275.0,651079391.0
2025-12-09,156.91,154.8,158.2,154.42,24343.0,379204844.0
2025-12-10,154.1,157.58,158.38,152.59,30699.0,479120698.0
2025-12-11,157.65,153.63,157.65,153.5,31724.0,492354994.0
2025-12-12,153.63,157.61,158.28,153.02,51262.0,803347624.0
2025-12-15,156.05,152.68,157.48,152.44,39510.0,607714033.0
